Proposições,Classe,Apreciação,Regime de Tramitação,Natureza,Ementa,Explicação ,Autor,UF,Partido,Apresentação,Ano,,Situação,Link 
PL 4642/2016,Aborto,"Conclusiva (24, II, RICD)","Ordinária (151, III, RICD)",Contra,Dispõe sobre a prevenção e conscientização dos riscos e consequências relacionados ao aborto.,,Flavinho,SP,PSB,3/8/2016,2016,Raiz,Aguardando Designação de Relator na Comissão de Seguridade Social e Família (CSSF),http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2078898
PL 4646/2016,Aborto,Plenário,"Ordinária (151, III, RICD)",Contra,"Altera o Decreto-Lei Nº 2.848, de 7 de dezembro de 1940 e a Lei Nº 8.072, de 25 de julho de 1990, para tipificar o crime de auxílio, induzimento ou instigação ao aborto e dá outras providências.",,Flavinho,SP,PSB,3/8/2016,2016,Apensado,Aguardando Designação de Relator na Comissão de Defesa dos Direitos da Mulher (CMULHER),http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2078905
PL 4703/1998,Aborto,Plenário,"Ordinária (151, III, RICD)",Contra,"Acrescenta o inciso VIII e o § 1º ao art. 1º da Lei nº 8.072, de 25 de julho de 1990, que dispõe sobre os crimes hediondos.","Inclui como crime hediondo o aborto provocado pela gestante, ou por terceiros, com o seu consentimento.",Francisco Silva,RJ,PPB,8/11/1998,1998,Raiz,Aguardando Designação de Relator na Comissão de Defesa dos Direitos da Mulher (CMULHER),http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=21071
PL 478/2007,Aborto,Plenário,"Ordinária (151, III, RICD)",Contra,Dispõe sobre o Estatuto do Nascituro e dá outras providências.,"Altera o Decreto-Lei nº 2.848, de 1940 e a Lei nº 8.072, de 1990.",Luiz Bassuma ;Miguel Martini,BA;MG,PT ;PHS,3/19/2007,2007,Raiz,Pronta para Pauta na Comissão de Constituição e Justiça e de Cidadania (CCJC); Aguardando Parecer do Relator na Comissão de Defesa dos Direitos da Mulher (CMULHER),http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=345103
PL 4880/2016,Aborto,"Conclusiva (24, II, RICD)","Ordinária (151, III, RICD)",Contra,"Acrescenta dispositivo à Lei nº 8.069, de 13 de julho de 1990, para tornar obrigatória a comunicação, pelos estabelecimentos de saúde, de aborto ou de sua tentativa.",,Rômulo Gouveia,PB,PSD,3/30/2016,2016,Raiz,Aguardando Designação de Relator na Comissão de Seguridade Social e Família (CSSF),http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2080955
PL 489/2007,Aborto,Plenário,"Ordinária (151, III, RICD)",Contra,Dispõe sobre o Estatuto do Nascituro e dá outras providências.,"Altera o Decreto-Lei nº 2.848, de 1940 e a Lei nº 8.072, de 1990.",Odair Cunha,MG,PT,3/20/2007,2007,Apensado,Pronta para Pauta na Comissão de Constituição e Justiça e de Cidadania (CCJC); Aguardando Parecer do Relator na Comissão de Defesa dos Direitos da Mulher (CMULHER),http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=345301
PL 4917/2001,Aborto,Plenário,"Ordinária (151, III, RICD)",Contra,"Inclui inciso no art. 1º da Lei nº 8.072, de 25 de julho de 1990, tipificando como hediondo o crime de aborto, e altera os arts. 124, 125 e 126 do Código Penal Brasileiro, e dá outras providências.","Altera o Decreto-lei nº 2.848, de 1940.",Givaldo Carimbão,AL,PSB,6/26/2001,2001,Apensado,Aguardando Designação de Relator na Comissão de Defesa dos Direitos da Mulher (CMULHER),http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=29946
PL 499/1988,Aborto,Plenário,"Ordinária (151, III, RICD)",Contra,"AUTORIZA ATIVIDADES DE PRATICAS E MEIOS ANTICONCEPCIONAIS, E DA OUTRAS PROVIDENCIAS.",,INOCENCIO OLIVEIRA,PE,PFL,4/5/1988,1988,Raiz,Arquivada,http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=177892
PL 5058/2005,Aborto,Plenário,"Prioridade (151, II, RICD)",Contra,"Regulamenta o art. 226, § 7º, da Constituição Federal, dispondo sobre a inviolabilidade do direito à vida, definindo a eutanásia e a interrupção voluntária da gravidez como crimes hediondos, em qualquer caso.","Altera o Decreto-Lei nº 2.848, de 1940 e a Lei nº 8.072, de 1990.",Osmânio Pereira,MG,PTB,4/13/2005,2005,Raiz,Arquivada,http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=281681
PL 5069/2013,Aborto,Plenário,"Ordinária (151, III, RICD)",Contra,"Acrescenta o art. 127-A ao Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal.",Tipifica como crime contra a vida o anúncio de meio abortivo e prevê penas específicas para quem induz a gestante à prática de aborto.,Eduardo Cunha;Isaias Silvestre;João Dado;Andre Moura;Arolde de Oliveira;Padre Ton;Arnaldo Faria de Sá;Aureo;Lincoln Portela;João Campos;Roberto de Lucena;Marcos Rogério;José Linhares,RJ;MG;SP;SE;RJ;RO;SP;RJ;MG;GO;SP;RO;CE,PMDB ;PSB ;PDT ;PSC ;PSD ;PT ;PTB ;PRTB ;PR ;PSDB ;PV ;PDT ;PP,2/27/2013,2013,Raiz,Pronta para Pauta,http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=565882
PL 5166/2005,Aborto,Plenário,"Ordinária (151, III, RICD)",Contra,"Dispõe sobre os crimes de antecipação terapêutica de parto de feto anencefálico ou inviável, e dá outras providências.",,Takayama,PR,PMDB,5/5/2005,2005,,Tramitando em Conjunto,http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=284607
PL 5617/2016,Aborto,"Conclusiva (24, II, RICD)","Ordinária (151, III, RICD)",Contra,Institui o Dia Nacional de Conscientização Antiaborto.,,Pr. Marco Feliciano,SP,PSC,6/20/2016,2016,Apensado,Aguardando Designação de Relator na Comissão de Seguridade Social e Família (CSSF),http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2088652
PL 567/1983,Aborto,Plenário,"Ordinária (151, III, RICD)",Dúvida,AUTORIZA A DISTRIBUIÇÃO GRATUITA DE ANOVULATORIOS.,,INOCENCIO OLIVEIRA,PE,PDS,4/25/1983,1983,Raiz,Arquivada,http://www2.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=178975
