,id,capnum,datacaptura,idecadastro,numlegislatura,nomeparlamentar,sexo,profissao,legendapartidoeleito,ufeleito,condicao,situacaomandato,matricula,gabinete,anexo,fone
101,500,2,2015-11-02 13:14:39,74016,54,COSTA FERREIRA,M,"Advogado, Torneiro Mecânico e Professor",PSC,MA,Suplente,Suplência,571,0,0,
102,1246,2,2015-11-02 13:14:39,74488,52,JOSÉ RAJÃO,M,,PSDB,DF,Suplente,Em Exercício,548,0,0,
103,794,2,2015-11-02 13:14:39,74658,53,FERNANDO DINIZ,M,Empresário,PMDB,MG,Titular,Vacância,233,0,0,
104,1329,2,2015-11-02 13:14:39,160534,54,LAURIETE,F,Empresária,PSC,ES,Titular,Em Exercício,279,0,0,
105,1203,2,2015-11-02 13:14:39,74782,52,JOSÉ DIRCEU,M,Advogado,PT,SP,Titular,Vacância,365,0,0,
106,782,2,2015-11-02 13:14:39,160666,55,FÉLIX MENDONÇA JÚNIOR,M,,PDT,BA,Titular,Em Exercício,195,912,4,3215-5912
107,1876,2,2015-11-02 13:14:39,74574,52,PAULO MAGALHÃES,M,Administrador de Empresas,DEM,BA,Titular,Em Exercício,214,0,0,
108,2462,2,2015-11-02 13:14:39,160592,54,ZECA DIRCEU,M,Empresário,PT,PR,Titular,Em Exercício,468,0,0,
109,129,2,2015-11-02 13:14:39,161905,54,ANDRÉ DIAS,M,,PSDB,PA,Suplente,Vacância,517,0,0,
110,1075,2,2015-11-02 13:14:39,160531,55,JHONATAN DE JESUS,M,Empresário,PRB,RR,Titular,Em Exercício,5,535,4,3215-5535
111,446,2,2015-11-02 13:14:39,74171,53,CHICO ALENCAR,M,PROFESSOR DE ENSINO SUPERIOR,PSOL,RJ,Titular,Em Exercício,295,0,0,
112,308,2,2015-11-02 13:14:39,73478,54,BETO ALBUQUERQUE,M,Advogado,PSB,RS,Titular,Em Exercício,490,0,0,
113,1500,2,2015-11-02 13:14:39,74164,52,MARCELINO FRAGA,M,PRODUTOR AGROPECUARIO,PMDB,ES,Titular,Vacância,277,0,0,
114,2099,2,2015-11-02 13:14:39,141535,53,ROGÉRIO MARINHO,M,,PSB,RN,Titular,Em Exercício,126,0,0,
115,1421,2,2015-11-02 13:14:39,74059,52,LUIZ BASSUMA,M,Engenheiro.,PT,BA,Titular,Em Exercício,182,0,0,
116,594,2,2015-11-02 13:14:39,160643,55,DR. JORGE SILVA,M,Médico,PROS,ES,Titular,Em Exercício,278,227,4,3215-5227
117,969,2,2015-11-02 13:14:39,73772,55,HERMES PARCIANELLO,M,Contador,PMDB,PR,Titular,Em Exercício,448,234,4,3215-5234
118,752,2,2015-11-02 13:14:39,141428,54,FÁBIO FARIA,M,Administrador de Empresas,PMN,RN,Titular,Em Exercício,119,0,0,
119,1487,2,2015-11-02 13:14:39,141490,54,MANOEL JUNIOR,M,Médico,PMDB,PB,Titular,Em Exercício,130,0,0,
120,384,2,2015-11-02 13:14:39,160605,54,CARLOS MAGNO,M,Técnico em Agropecuária,PP,RO,Titular,Em Exercício,44,0,0,
121,2118,2,2015-11-02 13:14:39,160515,54,RONALDO BENEDET,M,Advogado,PMDB,SC,Titular,Em Exercício,484,0,0,
122,1397,2,2015-11-02 13:14:39,73982,53,LUCIANO CASTRO,M,Administrador e Economista,PL,RR,Titular,Em Exercício,4,0,0,
123,1039,2,2015-11-02 13:14:39,74665,55,JAIME MARTINS,M,"Empresário, Engenheiro e Advogado",PSD,MG,Titular,Em Exercício,240,904,4,3215-5904
124,1857,2,2015-11-02 13:14:39,73883,53,PAULO BORNHAUSEN,M,ADVOGADO,PFL,SC,Titular,Em Exercício,482,0,0,
125,2097,2,2015-11-02 13:14:39,160568,54,ROGÉRIO CARVALHO,M,Médico,PT,SE,Titular,Em Exercício,178,0,0,
126,1073,2,2015-11-02 13:14:39,178842,55,JHC,M,,SD,AL,Titular,Em Exercício,167,958,4,3215-5958
127,974,2,2015-11-02 13:14:39,178849,55,HISSA ABRAHÃO,M,Comerciante,PPS,AM,Titular,Em Exercício,42,272,3,3215-5272
128,404,2,2015-11-02 13:14:39,73934,53,CARLOS SOUZA,M,"Biólogo, Professor, Radialista",PP,AM,Titular,Vacância,37,0,0,
129,1093,2,2015-11-02 13:14:39,74366,52,JOÃO CAMPOS,M,Delegado de Polícia,PSDB,GO,Titular,Em Exercício,418,0,0,
130,1843,2,2015-11-02 13:14:39,74095,52,PAUDERNEY AVELINO,M,"Engenheiro Civil, Professor",DEM,AM,Titular,Em Exercício,43,0,0,
131,216,2,2015-11-02 13:14:39,74472,52,ARMANDO MONTEIRO,M,"Empresário, Advogado e Administrador de Empresas",PMDB,PE,Titular,Em Exercício,144,0,0,
132,2419,2,2015-11-02 13:14:39,73653,54,WELLINGTON FAGUNDES,M,Médico Veterinário e Comerciante,PR,MT,Titular,Em Exercício,406,0,0,
133,295,2,2015-11-02 13:14:39,74040,52,BENJAMIN MARANHÃO,M,Cirurgião-Dentista,PMDB,PB,Titular,Em Exercício,128,0,0,
134,2233,2,2015-11-02 13:14:39,74356,55,SILAS CÂMARA,M,Empresário,PSD,AM,Titular,Em Exercício,39,532,4,3215-5532
135,858,2,2015-11-02 13:14:39,160537,54,GABRIEL CHALITA,M,"Escritor, Professor Universitário",PSB,SP,Titular,Licenciado,347,0,0,
136,2002,2,2015-11-02 13:14:39,141526,53,REINALDO NOGUEIRA,M,EMPRESÁRIO RURAL,PDT,SP,Titular,Vacância,382,0,0,
137,1903,2,2015-11-02 13:14:39,160658,54,PAULO TADEU,M,"Eletricitário, Técnico em Edificações",PT,DF,Titular,Vacância,412,0,0,
138,2478,2,2015-11-02 13:14:39,74392,52,ZONTA,M,Agricultor Cooperativista.,PPB,SC,Titular,Em Exercício,485,0,0,
139,487,2,2015-11-02 13:14:39,74026,52,CLÓVIS FECURY,M,Engenheiro Civil,DEM,MA,Titular,Em Exercício,73,0,0,
140,233,2,2015-11-02 13:14:39,74291,54,ARNON BEZERRA,M,Médico,PTB,CE,Titular,Em Exercício,90,0,0,
141,1288,2,2015-11-02 13:14:39,74253,52,JULIO LOPES,M,"Administrador de Empresas, Professor",PPB,RJ,Titular,Vacância,309,0,0,
142,436,2,2015-11-02 13:14:39,73480,53,CEZAR SCHIRMER,M,Advogado e Professor Universitário,PMDB,RS,Suplente,Vacância,527,0,0,
143,1891,2,2015-11-02 13:14:39,74400,53,PAULO PIMENTA,M,Técnico Agrícola e Jornalista,PT,RS,Titular,Em Exercício,513,0,0,
144,2190,2,2015-11-02 13:14:39,74210,55,SARNEY FILHO,M,Advogado,PV,MA,Titular,Em Exercício,85,202,4,3215-5202
145,1004,2,2015-11-02 13:14:39,67138,54,IRACEMA PORTELLA,F,"Empresária, Professor",PP,PI,Titular,Em Exercício,113,0,0,
146,577,2,2015-11-02 13:14:39,143632,55,DOMINGOS NETO,M,Empresário,PROS,CE,Titular,Em Exercício,97,546,4,3215-5546
147,1282,2,2015-11-02 13:14:39,74317,54,JÚLIO CESAR,M,"PROFESSOR, ADVOGADO E PRODUTOR RURAL",DEM,PI,Titular,Em Exercício,114,0,0,
148,866,2,2015-11-02 13:14:39,74544,53,GEDDEL VIEIRA LIMA,M,"Administrador de Empresas, Pecuarista e Cacauicultor",PMDB,BA,Titular,Em Exercício,193,0,0,
149,1147,2,2015-11-02 13:14:39,178910,55,JOAQUIM PASSARINHO,M,Arquiteto,PSD,PA,Titular,Em Exercício,33,339,4,3215-5339
150,175,2,2015-11-02 13:14:39,74452,52,ANTONIO CAMBRAIA,M,"Economista, Professor Universitário e Administrador Público",PSDB,CE,Titular,Em Exercício,91,0,0,
151,214,2,2015-11-02 13:14:39,74405,53,ARMANDO ABÍLIO,M,Médico,PSDB,PB,Titular,Em Exercício,129,0,0,
152,1783,2,2015-11-02 13:14:39,74005,52,OLAVO CALHEIROS,M,Engenheiro Agrônomo,PMDB,AL,Titular,Em Exercício,171,0,0,
153,1824,2,2015-11-02 13:14:39,154417,53,PAES DE LIRA,M,Coronel da Polícia Militar,PTC,SP,Efetivado,Em Exercício,585,0,0,
154,266,2,2015-11-02 13:14:39,74459,55,ÁTILA LIRA,M,Administrador de Empresas e Economista,PSB,PI,Titular,Em Exercício,109,640,4,3215-5640
155,388,2,2015-11-02 13:14:39,178900,55,CARLOS MARUN,M,"Advogado(a),Engenheiro Civil",PMDB,MS,Titular,Em Exercício,433,372,3,3215-5372
156,351,2,2015-11-02 13:14:39,141395,54,CAMILO COLA,M,,PMDB,ES,Efetivado,Em Exercício,543,0,0,
157,235,2,2015-11-02 13:14:39,74833,52,AROLDE DE OLIVEIRA,M,"Engenheiro, Economista e Professor",DEM,RJ,Titular,Em Exercício,288,0,0,
158,1341,2,2015-11-02 13:14:39,141562,55,LELO COIMBRA,M,MÉDICO,PMDB,ES,Titular,Em Exercício,277,801,4,3215-5801
159,2089,2,2015-11-02 13:14:39,74693,52,RODRIGO MAIA,M,Bancário,DEM,RJ,Titular,Em Exercício,322,0,0,
160,1678,2,2015-11-02 13:14:39,74862,53,MIRO TEIXEIRA,M,Advogado,PDT,RJ,Titular,Em Exercício,317,0,0,
161,1504,2,2015-11-02 13:14:39,146613,53,MARCELO ALMEIDA,M,Engenheiro Civi,PMDB,PR,Efetivado,Em Exercício,538,0,0,
162,2442,2,2015-11-02 13:14:39,74439,53,WOLNEY QUEIROZ,M,Empresário,PDT,PE,Titular,Em Exercício,164,0,0,
163,894,2,2015-11-02 13:14:39,74383,54,GIACOBO,M,Empresário,PR,PR,Titular,Em Exercício,466,0,0,
164,425,2,2015-11-02 13:14:39,73441,52,CELSO RUSSOMANNO,M,"Apresentador de Televisão, Repórter e Bacharel em Direito",PPB,SP,Titular,Em Exercício,344,0,0,
165,292,2,2015-11-02 13:14:39,74517,52,BENEDITO DE LIRA,M,ADVOGADO,PTB,AL,Titular,Em Exercício,162,0,0,
166,1437,2,2015-11-02 13:14:39,74142,52,LUIZ CARREIRA,M,ADMINISTRADOR,DEM,BA,Titular,Em Exercício,205,0,0,
167,1826,2,2015-11-02 13:14:39,74319,53,PAES LANDIM,M,Professor e Advogado,PTB,PI,Titular,Em Exercício,118,0,0,
168,376,2,2015-11-02 13:14:39,74466,52,CARLOS DUNGA,M,"Advogado, Professor e Pecuarista",PTB,PB,Titular,Em Exercício,130,0,0,
169,1127,2,2015-11-02 13:14:39,73873,52,JOÃO MATOS,M,Professor e Administrador de Empresas,PMDB,SC,Titular,Em Exercício,473,0,0,
170,360,2,2015-11-02 13:14:39,73469,52,CARLITO MERSS,M,Professor e Industriário,PT,SC,Titular,Em Exercício,476,0,0,
171,2346,2,2015-11-02 13:14:39,73566,52,VICENTE CASCIONE,M,ADVOGADO,PSB,SP,Titular,Em Exercício,395,0,0,
172,272,2,2015-11-02 13:14:39,160665,55,AUGUSTO COUTINHO ,M,Engenheiro Civil,SD,PE,Suplente,Em Exercício,528,373,3,3215-5373
173,2240,2,2015-11-02 13:14:39,73560,52,SILVIO TORRES,M,JORNALISTA E EMPRESÁRIO,PSDB,SP,Suplente,Em Exercício,581,0,0,
174,896,2,2015-11-02 13:14:39,179380,54,GILBERTO COUTINHO,M,,PT,AL,Efetivado,Em Exercício,656,0,0,
175,1948,2,2015-11-02 13:14:39,141465,54,PINTO ITAMARATY,M,Administrador de Empresas,PSDB,MA,Titular,Em Exercício,79,0,0,
176,2311,2,2015-11-02 13:14:39,73565,54,VALDEMAR COSTA NETO,M,Administrador de Empresas,PR,SP,Titular,Vacância,393,0,0,
177,2418,2,2015-11-02 13:14:39,73653,53,WELLINGTON FAGUNDES,M,Médico Veterinário e Comerciante,PL,MT,Titular,Em Exercício,406,0,0,
178,2261,2,2015-11-02 13:14:39,177282,55,SUBTENENTE GONZAGA,M,,PDT,MG,Titular,Em Exercício,273,750,4,3215-5750
179,1747,2,2015-11-02 13:14:39,178896,55,NEWTON CARDOSO JR,M,,PMDB,MG,Titular,Em Exercício,247,932,4,3215-5932
180,667,2,2015-11-02 13:14:39,74173,54,EDUARDO CUNHA,M,ECONOMISTA,PMDB,RJ,Titular,Em Exercício,300,0,0,
181,815,2,2015-11-02 13:14:39,152608,53,FERNANDO NASCIMENTO,M,,PT,PE,Efetivado,Em Exercício,570,0,0,
